,rw,sent,区,单元号,小区名,市,建筑物名称,户室号,村居委会,栋号,楼号,楼层,省,社区,组团名称,自然村组,街路巷名,门牌号
110,0,-南厂路165号C痤7栋4-15--,,,,,,165号,,7栋,,,,,,,南厂路,4
111,0,-盐务街136号3栋1单元--,,1单元,,,,,,3栋,,,,,,,盐务街,136号
112,0,-铁运巷73号2栋2单元8-29--,,2单元,,,,73号,,2栋,,,,,,,铁运巷,8
113,0,-黔灵西路团结巷3号2-17--,,,,,,3号,,,,,,,,,黔灵西路,2
114,0,-万科大都会21栋3201--,,,万科大都会,,,,,21栋,,,,,,,,3201
115,0,-金阳碧海红湖12栋2-6-2--,,,,,,,,12栋,,,,,碧海红湖,,,2
116,0,-中天世纪新城三组团F4-1-5-4号--,,,中天世纪新城,,,4号,,,,,,,三组团,,,1
117,0,-中天会展城B8-1-12-4--,,,中天会展城,,,,,,,,,,,,,1
118,0,-绿苑小区天源居16栋1-17-2号--,,,绿苑小区,,,2号,,16栋,,,,,天源居,,,1
119,0,-美林谷4号楼4-1-17-1号--,,,美林谷,,,1号,,4号楼,,,,,,,,4
120,0,-五柳街8-五柳小区E栋2-5-2--,,,五柳小区,,,,,E栋,,,,,,,五柳街,8
121,0,-金世旗小区21栋1单元4-1--,,1单元,金世旗小区,,,,,21栋,,,,,,,,4
122,0,-花果园L2区10-2-3201--,,,,,,3201,,,,,,,2区,,花果园,10
123,0,-瑞花巷32号付24--,,,,,,32号,,,,,,,,,瑞花巷,24
124,0,-珠江路208-兴隆珠江湾畔B1-1-1-3号--,,,兴隆珠江湾畔,,,3号,,,,,,,,,珠江路,208
125,0,-金阳新区阳关108户安置房4-1-5-4号--,金阳新区,,,,,4号,,,,,,,,,,108
126,0,-保利B区2栋13-1--,,,,,,,,2栋,,,,,B区,,,13
127,0,-上板幸福小区3-3-4--,,,幸福小区,,,,,,,,,,,,,3
128,0,-会展城B区B7组团-6-12-2--,,,会展城,,,,,,,,,,B区,,,6
129,0,-花果园S1区8栋2-1703--,,,,,,1703,,8栋,,,,,1区,,花果园,2
130,0,-一鸣宽城国际小区4栋1-16-1号--,,,一鸣宽城国际,,,1号,,4栋,,,,,,,,1
131,0,-贵阳市云岩区扶风路西瓜村2栋4-1号--,云岩区,,,贵阳市,,1号,西瓜村,2栋,,,,,,,扶风路,4
132,0,-凤凰村商住楼428-1-1-4--,,,,,,428,凤凰村,,,,,,,,,1
133,0,-朝阳村12栋2单元242室302--,,2单元,,,,242室,朝阳村,12栋,,,,,,,,302
134,0,-金狮小区二期顺海组团7-2-4-1号--,,,金狮小区,,,1号,,,,,,,二期,,,7
135,0,-花果园R1区9栋2431--,,,,,,,,9栋,,,,,1区,,花果园,2431
136,0,-平安巷26-2-6-1--,,,,,,,,,,,,,,,平安巷,26
137,0,-玉厂路新世纪房开化司1栋1单元7-3--,,1单元,,,,,,1栋,,,,,,,玉厂路,7
138,0,-花果园S区3栋1单元1807--,,1单元,花果园S区,,,,,3栋,,,,,,,,1807
139,0,-博士花园5栋2单元3-3--,,2单元,博士花园,,,,,5栋,,,,,,,,3
140,0,-文化路安置房A单元8楼--,,A单元,,,,,,,,8楼,,,,,文化路,
141,0,-宝山北路180号-吟峰苑-2号楼1-29-9号--,,,吟峰苑,,,9号,,2号楼,,,,,,,宝山北路,180号
142,0,-金马街61栋2单元附2号--,,2单元,,,,附2号,,61栋,,,,,,,金马街,
143,0,-龙泉巷7号1-4-13--,,,,,,7号,,,,,,,,,龙泉巷,1
144,0,-金阳街21号36栋2-6-11--,,,,,,21号,,36栋,,,,,,,金阳街,2
145,0,-沙河街105号7-4-18--,,,,,,105号,,,,,,,,,沙河街,7
146,0,-山水黔城三组团3号楼1501--,,,山水黔城,,,,,3号楼,,,,,三组团,,,1501
147,0,-金阳新区阳关108户安置5-2-4-4号--,金阳新区,,,,,4号,,,,,,,,,,108
148,0,-向阳路31号7-2-2-4--,,,,,,31号,,,,,,,,,向阳路,7
149,0,-二桥路42号C栋3-3-2--,,,,,,42号,,C栋,,,,,,,二桥路,3
150,0,-航天新村逸悠园C栋502--,,,,,,,新村,C栋,,,,,,,,502
151,0,-乌金路2002-22号地58栋1单元6-7--,,1单元,,,,22号,,58栋,,,,,,,乌金路,2002
152,0,-花果园M区-14栋-2-3508--,,,花果园M区,,,3508,,14栋,,,,,,,,2
153,0,-瑞金北路37号2单元3楼2室--,,2单元,,,,2室,,,,3楼,,,,,瑞金北路,37号
154,0,-黔灵山路146号观山小区23-17-2--,,,观山小区,,,146号,,,,,,,,,黔灵山路,23
155,0,-燕山雅筑1-8-1--,,,燕山雅筑,,,,,,,,,,,,,1
156,0,-改荣路贵阳恒大名都7号楼1603号--,,,贵阳恒大名都,,,,,7号楼,,,,,,,,1603号
157,0,-花果园项目Q区7栋-3-1804--,,,,,,1804,,7栋,,,,,,,花果园,3
158,0,-金阳长岭南路25号远大生态风景3-3-15-2号--,,,远大生态风景,,,2号,,,,,,,,,长岭南路,3
